$id,Id,Accords,AgeVignes,Appellation,AppellationLabel,BestAfter,BestBefore,AssemblageCepage,Classement,Code_ean,CommentaireBouche,CommentaireMillesime,CommentaireNez,CommentaireOeil,CommentaireProducteur,CommentaireService,CommentaireSituation,CommentaireTerroir,CommentaireVin,CommentaireVinification,CommentaireViticulture,Contenance,ContenanceUnit,CouleurVin,DateCrawl,DegreAlcool,DenominationGeo,DenominationVitivini,Dosage,ElevageDuree,Img_btl_back_cloud,Img_btl_back_source,Img_btl_front_cloud,SourceImageBottle,Img_etq_back_cloud,Img_etq_back_source,Img_etq_front_cloud,Img_etq_front_source,AnneeMillesime,NomCuvee,NomVin,NomPays,PotentielGarde,PrixVin,PrixDevise,NomProducteur,Recompenses,NomRegion,TempService,TypeVin,UrlProduit,UrlSiteSource,TypeVendange,NomVignoble,ViticultureLabel
1892,1892,,0,Vin de France,,0,0,"Mansois, merlot",,0, Couleur grenadineavec des arômes de petits fruits rouges,,, Couleur grenadineavec des arômes de petits fruits rouges,,,,,"Parfait avec de la charcuterie, des brochettes de volaille, de boeuf ou des salades",,,75,cL,Rosé,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/c/o/comme_un_dimanche_sous_un_cerisier_rose-1528896289.jpg,,,,,2017,,Comme un dimanche sous un cerisier,France,,7.4,EUR,Famille  LAURENS,,Sud-Ouest,0,,https://www.lesgrappes.com/domaine-laurens-comme-un-dimanche-sous-un-cerisier-rose-2017,https://www.lesgrappes.com/vins,,Domaine Laurens,Traditionnel - Agriculture Traditionnelle / Conventionnelle - Sans certification
1893,1893,,0,IGP - Hautes-Alpes ,,0,0,Muscat petits grains,,0,,,,Une robe élégante aux reflets dorés,,,,,Aussi bien en apéritif que pour accompagner tout un repas ou vos desserts de fêtes...Il sera notamment parfait avec un homard juste grillé,,,75,cL,,16/10/2018 13:02,12,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/b/r/brut_nature-1529481721.png,,,,,,,METHODE TRADITIONNELLE BRUT NATURE,France,,10.9,EUR,Laetitia Allemand,,Alpes du sud,0,Pétillant,https://www.lesgrappes.com/domaine-allemand-methode-traditionnelle-brut-nature-petillant,https://www.lesgrappes.com/vins,,Domaine Allemand,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1894,1894,,0,Ventoux,,0,0,Clairette 60% Roussanne 20% Grenache Blanc 15% Viognier 5%,,0," Bouche de bel équilibre, grain fin, caractère acidulé, du fruit",,Nez de fruits blancs aux notes d'agrumes,,,,,,"Parfait avec du poisson, des crustacés mais aussi à l'apéritif, il ravira vos convives",,,75,cL,Blanc,16/10/2018 13:02,12,,,,0,,,,https://s.lesgrappes.com/media/catalog/product,,,,,2017,,Château Saint Pons Blanc ,France,3 ans,11.1,EUR,William Monin,,Vallée du Rhône,8.5,,https://www.lesgrappes.com/chateau-saint-pons-chateau-saint-pons-blanc-blanc-2017,https://www.lesgrappes.com/vins,,Château Saint Pons,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1895,1895,,0,Costières de Nîmes,,0,0,"Syrah 70%, Carignan 20%, Grenache noir 10%",,0,Un des rares vins rouges qui peut être servi frais l'été pour profiter de sa fraîcheur aromatique et de sa bouche d'une finesse et d'une légèreté unique pour un vin du sud,,,,,,,,"Un vin qui inspire les plateaux de charcuterie et fromage, la cuisine aux fruits rouges, un vin de plaisir et de compagnie tout simplement",,,75,cL,Rouge,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/n/i/nimois_ni_toi_hd-1533283081.jpg,,,,,2016,,Nîmois Ni Toi,France,,9.5,EUR,Alexis  Cornut ,,Vallée du Rhône,0,,https://www.lesgrappes.com/chateau-guiot-nimois-ni-toi-rouge-2016,https://www.lesgrappes.com/vins,,Château guiot ,Non Certifié ou En Conversion
1896,1896,Fruit de mer Viande blanche Volaille ,0,Charentais,,0,0,"Merlot, Gamay, Cabernet Franc, Cabernet Sauvignon, Malbec, Egiodola",,0,,,,,,,,,"Grillades, salades composées, viandes blanches",,,75,cL,Rosé,16/10/2018 13:02,12,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/d/s/dsc05826small-1534942699.jpg,,,,,2017,,Domaine Poncereau de Haut - Rosé Tradition,France,2 ans,5.3,EUR,Ophélie et Florian Benassy,,Sud-Ouest,0,,https://www.lesgrappes.com/domaine-de-poncereau-de-haut-domaine-poncereau-de-haut-rose-tradition-rose-2017,https://www.lesgrappes.com/vins,,Domaine de Poncereau de Haut,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1897,1897,Apéritif Fromage Fruit de mer Viande blanche Volaille ,0,Côtes du Rhône,,0,0,"Ugni-blanc, Grenache blanc, Bourboulenc",,0," Ample et gras en bouche, les arômes de fruits blancs sont dominants, agrémentés de quelques notes florales",,,"Robe très pâle, cristalline et reflets argentés",,,,,Idéal en apéritif et accompagnement de  viandes blanches,,,75,cL,Blanc,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/b/l/blanc_2015_dtour-1535724708.jpg,,,,,2015,,Côtes du Rhône Blanc 2015,France,,9,EUR,Sophie et Thierry Conrozier,,Vallée du Rhône,0,,https://www.lesgrappes.com/domaine-chantegrives-cotes-du-rhone-blanc-2015-blanc-2015,https://www.lesgrappes.com/vins,,Domaine Chantegrives,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1898,1898,Fromage Gibier Viande rouge ,0,Côtes du Rhône,,0,0,"Grenache, Syrah",,0,,,,,,,,,"Idéal sur des viandes rouges grillées, gigots d'agneau, côtes de porc",,,75,cL,Rouge,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/r/o/rouge_2015_drour-1536844309.png,,,,,2015,,Côtes du Rhône Rouge 2015,France,7 ans,9,EUR,Sophie et Thierry Conrozier,,Vallée du Rhône,16,,https://www.lesgrappes.com/domaine-chantegrives-cotes-du-rhone-rouge-2015-rouge-2015,https://www.lesgrappes.com/vins,,Domaine Chantegrives,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1899,1899,Poisson Viande blanche ,0,IGP Val de Loire,,0,0,Sauvignon Blanc 100%,,0," Plus de volume et de puissance en bouche, avec une longue finale fraîche (notes végétales, arômes mentholés)",,"L'olfaction est complexe et offre des notes épicées (gingembre, muscade) et fruités (orange confite)",,,,,,Idéal sur un filet mignon accompagnée d'une purée de potiron au gingembre,,,75,cL,Blanc,16/10/2018 13:02,14,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/d/s/dsirade-1535375919.png,,,,,2016,,Désirade,France,10 ans,18.6,EUR,Charlotte et Thomas CARSIN,,Loire,12,,https://www.lesgrappes.com/domaine-du-clos-de-lelu-desirade-blanc-2016,https://www.lesgrappes.com/vins,,Domaine du Clos de l'Elu,Bio - Certifié AB
1900,1900,Apéritif Fruit de mer Poisson ,0,Bordeaux Sec,,0,0,"Sémillon 50%, Sauvignon Blanc 50%",,0," Le nez nous rappelle les fleurs blanches du printemps, la bouche est ronde, onctueuse, douce La finale rappelle le Sauvignon blanc avec quelques notes d'agrumes",," Le nez nous rappelle les fleurs blanches du printemps, la bouche est ronde, onctueuse, douce","La robe est brillante, légèrement dorée",,,,,Bien frais,,,75,cL,Blanc,16/10/2018 13:02,12,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/p/h/photo_blanc-1530025225.png,,,,,,,L'Impatient de Gadet Terrefort,France,,8.5,EUR,Anaïs Bernard,,Bordeaux,0,,https://www.lesgrappes.com/chateau-gadet-terrefort-chateau-gadet-terrefort-limpatient-de-gadet-terrefort-blanc,https://www.lesgrappes.com/vins,,Château Gadet-Terrefort,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1901,1901,,0,Rasteau,,0,0,"72% Grenache,28 % Mourvèdre",,0,,,"Le nez est très complexe,cassis,quetsche,réglisse et à l'aération,les aromates de la garrigue",,,,,,"Il sera parfait sur un gigot d'agneau,une belle entrecôte",,,75,cL,Rouge,16/10/2018 13:02,14,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/r/a/rasteau_blovac-1530194644.jpg,,,,,2015,,RASTEAU BLOVAC,France,8 ans,15,EUR,Patrice et Thomas Barbieri,,Vallée du Rhône,0,,https://www.lesgrappes.com/domaine-de-cremone-rasteau-blovac-rouge-2015,https://www.lesgrappes.com/vins,,Domaine de Crémone,Non Certifié ou En Conversion
